"english","dutch"
"Table of contents","Inhoudsopgave"
"Tail light indicator","Indicatielampje achterlicht"
"Tail lights","Achterlichten"
"Talk switch","Spreekschakelaar"
"TEL switch","TEL-schakelaar"
"Temperature detection function","Functie voor temperatuurdetectie"
"Temporary cancelation of functions","Tijdelijke uitschakeling van functies"
"Temporary operation","Eén keer wissen"
"Terminals","Aansluitingen"
"The camera","De camera"
"The rear door cannot be opened","Het achterportier kan niet worden geopend"
"Theft deterrent system","Antidiefstalsysteem"
"Ticket holders","Kaarthouders"
"tietosuoja@toyota.fi","tietosuoja@toyota.fi"
"Tightening torque","Aanhaalkoppel"
"Tilt and telescopic steering control switch","Schakelaar voor kantelen en intrekken/uitschuiven van stuur"
"Tilt and telescopic steering lock release lever","Schakelaar voor ontgrendeling van kantelen en in-/uitschuiven van het stuur"
"Tilt meter","Hellingmeter"
"Tilt meter display","Weergave hellingmeter"
"Tilt sensor","Kantelsensor"
"Time","Tijd"
"Tire","Wiel"
"Tire chain installation","Aanbrengen van sneeuwkettingen"
"Tire inflation pressure","Bandenspanning"
"Tire inflation pressure display function","Weergavefunctie voor bandenspanning"
"Tire information","Informatie over banden"
"Tire life","Levensduur van banden"
"Tire pressure","Bandenspanning"
"Tire pressure gauge","Bandenspanningsmeter"
"Tire pressure warning light","Waarschuwingslampje bandenspanning"
"Tire pressure warning reset switch","Resetschakelaar voor de waarschuwing voor de bandenspanning"
"Tire pressure warning system","Waarschuwingssysteem bandenspanning"
"Tire rotation","Wielen omwisselen"
"Tire size","Bandenmaat"
"Tire size/inflation pressure","Bandenmaat/bandenspanning"
"Tires","Banden"
"Tires and inflation pressure","Bandenspanning en vuldruk"
"Tires and wheels","Banden en wielen"
"tmi.dpo@toyota-europe.com","tmi.dpo@toyota-europe.com"
"To prevent burns","Om brandwonden te voorkomen"
"Tools","Gereedschap"
"Top strap","Bovenste band"
"Top tether anchorage attachment","Bevestiging van “top tether”"
"Top tether anchorages","“Top tether”-bevestigingspunten"
"Torque distribution","Koppelverdeling"
"Total average","Gemiddelde totaal"
"Total Time","Totale tijd"
"Total trailer weight","Totale aanhangermassa"
"Total trailer weight and permissible drawbar load","Totale aanhangermassa en toegestane belasting van de trekbalk"
"Towing","Trekken"
"Towing capacity","Maximaal getrokken massa"
"Towing eyelet","Sleepoog"
"Towing hitch/Bicycle holder bracket","Trekhaak/beugel voor fietsendrager"
"Towing hitch/bracket","Trekhaak/trekbeugel"
"Towing with a sling-type truck","Slepen met een kraanwagen"
"Towing with a wheel-lift type truck","Slepen met een lepelwagen"
"Toyota parking assist-sensor","Toyota-parkeerhulpsensor"
"Toyota Safety Sense","Toyota Safety Sense"
"Toyota Smart Center","Toyota Smart Center"
"Toyota.Datenschutz@toyota.de","Toyota.Datenschutz@toyota.de"
"toyota@toyota.dk og","toyota@toyota.dk og"
"traction battery","Tractiebatterij"
"Traction battery","Tractiebatterij"
"Traction battery charge","Opladen van de tractiebatterij"
"Traction battery charge warning light","Waarschuwingslampje tractiebatterij"
"Traction battery charger","Tractiebatterijlader"
"Traction battery coolant","Koelvloeistof tractiebatterij"
"Traction battery cooler","Tractiebatterijkoeler"
"Traction battery heater","Tractiebatterijverwarming"
"Traction battery type","Type tractiebatterij"
"Traction battery warming control","Regeling van de tractiebatterijverwarming"
"Traction Control","tractieregeling"
"Traction motor","tractiemotor"
"Traction related parts","Onderdelen van de aandrijflijn"
"Trademark information","Informatie over handelsmerken"
"Trailer lights","Aanhangerverlichting"
"Trailer Sway Control","slingerbeheersing van aanhanger"
"Trailer Sway Control precaution","Voorzorgsmaatregelen voor Trailer Sway Control (slingerbeheersing van aanhanger)"
"Trailer towing","Trekken van een aanhanger"
"Trailer towing precautions","Voorzorgsmaatregelen voor het trekken van een aanhanger"
"Transaxle fluid","Transaxlevloeistof"
"Transmission:","Transmissie:"
"Tray within console box","Bak in het consolevak"
"TRC","TRC"
"Tread","Spoorbreedte"
"Treadwear indicator","Slijtage-indicator van het loopvlak"
"Triggering of the alarm","Activering van het alarm"
"Trip average","Gemiddelde rit"
"Trip meter A/Trip meter B","Dagteller A/dagteller B"
"Trip meters","Dagtellers"
"Truss bridges","Vakwerkbruggen"
"Tunnels","Tunnels"
"Türkiye","Türkiye"
"Turn signal indicator","Indicatielampje richtingaanwijzers"
"Turn signal lever","Hendel voor richtingaanwijzers"
"Turn signal lights","Richtingaanwijzers"
"Turn signals can be operated when","De richtingaanwijzers kunnen worden bediend wanneer"
"Turning on the high beam headlights","Grootlicht inschakelen"
"Turning the Blind Spot Monitor on/off","De dodehoekbewaking in-/uitschakelen"
"Turning the high beams on/off manually","Het grootlicht handmatig in-/uitschakelen"
"Turning the RCTA function on/off","De RCTA-functie in-/uitschakelen"
"Type A","Type A"
"Type B","Type B"
"Type C","Type C"
"Types of data and its recipients","Gegevenstypes en ontvangers"
"Types of sensors","Sensortypes"
"™","™"
"UN(ECE) R129 approval mark","Goedkeuringsmerkteken voor UN(ECE) R129"
"UN(ECE) R44 approval mark","Goedkeuringsmerkteken voor UN(ECE) R44"
"Uneven wear","Ongelijkmatige slijtage"
"Units","Meeteenheden"
"Unlock","Ontgrendelen"
"Unlocking function","Ontgrendelfunctie"
"Unlocking operation","Ontgrendeling"
"Updating the software","Bijwerken van de software"
"Upper hook","Bovenste haak"
"Urban area beginning","Begin bebouwde kom"
"Urban area ending","Einde bebouwde kom"
"Usable temperature range","Temperatuurbereik voor gebruik"
"Usage","Gebruik"
"Usage in winter time","Gebruik in de winter"
"USB charging ports","USB-laadpoorten"
"USB Type-C charging ports","USB-C-laadpoorten"
"Used wheels","Gebruikte velgen"
"Using automatic mode","De automatische modus gebruiken"
"Using the air conditioning system and defogger","Gebruik van het aircosysteem en de ontwasemer"
"Using the driving support systems","Gebruik van de rijhulpsystemen"
"Using the interior lights","Gebruik van de interieurverlichting"
"Using the other interior features","Gebruik van de andere interieurvoorzieningen"
"Using the storage features","Gebruik van de opslagvoorzieningen"
"Using the voice control system","Het spraakbesturingssysteem gebruiken"
"Using the wireless remote control","Gebruik van de draadloze afstandsbediening"
"utility hook","voorzieningenhaak"
"Utility vehicle feature","Kenmerk van SUV’s"
"Utility vehicle precautions","Voorzorgsmaatregelen voor SUV’s"
"Vanity lights","Make-uplampjes"
"Vanity mirrors","Make-upspiegels"
"Vehicle","Voertuig"
"Vehicle-equipped jack","Krik bij de auto"
"Vehicle-to-vehicle distance","Afstand tot voorligger"
"Vehicle-to-vehicle distance setting","Instelling van afstand tot voorligger"
"Vehicle-to-vehicle distance switch","Schakelaar voor afstand tot de voorligger"
"Vehicle condition","Staat van auto"
"Vehicle customization","Voertuiginstellingen"
"Vehicle data recording","Vastlegging van voertuiggegevens"
"Vehicle identification","Voertuigidentificatie"
"Vehicle identification number","Voertuigidentificatienummer"
"Vehicle information display","Weergave van voertuiginformatie"
"Vehicle rollover","Over de kop slaan van de auto"
"Vehicle specifications","Voertuigspecificaties"
"Vehicle speed","Rijsnelheid"
"Vehicle speed in towing","Rijsnelheid tijdens het trekken van een aanhanger"
"Vehicle Stability Control","voertuigstabiliteitsregeling"
"Vehicle Stability Control+","voertuigstabiliteitsregeling+"
"Vehicle status information and indicators","Voertuigstatusinformatie en indicatielampjes"
"vehicles with towing packages","Auto’s met trekpakket"
"Ventilation and air conditioning odors","Geuren van ventilatie en airco"
"Vertical adjustment","Hoogteverstelling"
"Vertical height adjustment lever","Hendel voor hoogteverstelling"
"Vertical height adjustment switch","Schakelaar voor hoogteverstelling"
"Vibration","Trilling"
"VIEW switch","WEERGAVE-schakelaar"
"Visible symptoms","Zichtbare symptomen"
"Visual","Visueel"
"Visual & Audible","Visueel en Hoorbaar"
"Voice notifications","Gesproken meldingen"
"Voltage","Spanning"
"Voltage range","Spanningsbereik"
"VSC OFF indicator","Indicatielampje VSC UIT"
"VSC off switch","Schakelaar VSC UIT"
"Warms up the grip of the steering wheel","Verwarmt de buitenkant van het stuur"
"WARNING","WAARSCHUWING"
"Warning buzzer","Waarschuwingszoemer"
"Warning buzzer/message","Waarschuwingszoemer/-melding"
"Warning function","Waarschuwingsfunctie"
"Warning label","Waarschuwingsetiket"
"Warning light","Waarschuwingslampje"
"Warning lights","Waarschuwingslampjes"
"Warning lights and indicators","Waarschuwingslampjes en indicatielampjes"
"Warning lights and indicators displayed on the instrument cluster","Waarschuwingslampjes en indicatielampjes op het instrumentenpaneel"
"Warning lights/indicator lights","Waarschuwingslampjes/indicatielampjes"
"Warning message","Waarschuwingsmelding"
"Warning message display","Weergave van waarschuwingsmeldingen"
"Warning messages","Waarschuwingsmeldingen"
"Warning messages and buzzers","Waarschuwingsmeldingen en zoemers"
"Warning phase","Waarschuwingsfase"
"Warning phase 1","Waarschuwingsfase 1"
"Warning phase 2","Waarschuwingsfase 2"
"Warning reflector","Gevarendriehoek"
"Warning symbols","Waarschuwingssymbolen"
"Warning timing","Waarschuwingsmoment"
"Washer","Ruitensproeier"
"Washer","Sluitring"
"Washer fluid","Ruitensproeiervloeistof"
"Washer fluid tank","Ruitensproeierreservoir"
"Washer/wiper dual operation","Inschakelen van ruitenwisser en -sproeier tegelijk"
"Washing and waxing","Wassen en in de was zetten"
"Water pump","Waterpomp"
"Wearing a seat belt","Een veiligheidsgordel dragen"
"Weight limits","Gewichtslimieten"
"What about do-it-yourself maintenance?","Het onderhoud zelf uitvoeren"
"Wheel bolt socket","Wielboutdop"
"Wheel bolt torque","Aanhaalkoppel van wielbouten"
"Wheel bolt wrench","Wielsleutel"
"Wheel bolts","Wielbouten"
"Wheel chock positions","Positie van wielblok"
"Wheel deformation and/or tire damage","Vervorming van de wielen en/of schade aan de banden"
"Wheel selection","Velgen kiezen"
"Wheel size","Velgmaat"
"Wheelbase","Wielbasis"
"Wheels","Velgen"
"Wheels and wheel ornaments","Velgen en siervelgen"
"Wheels of different sizes or types","Velgen met verschillende maten of van verschillende types"
"When functioning abnormally","Wanneer deze abnormaal werkt"
"When replacing the battery","Bij het vervangen van de batterij"
"When rotating the tires","Wanneer u de wielen omwisselt"
"When the warning lights come on","Wanneer de waarschuwingslampjes gaan branden"
"When the warning messages are displayed","Wanneer de waarschuwingsmeldingen worden weergegeven"
"When to initialize","Wanneer initialisatie nodig is"
"When trouble arises","Wanneer zich problemen voordoen"
"White","Wit"
"Winches","Lieren"
"Window glasses","Ruiten"
"window lock switch","Schakelaar voor ruitvergrendeling"
"Window lock switch","Schakelaar voor ruitvergrendeling"
"Windows","Ruiten"
"Windshield","Voorruit"
"Windshield defogger","Voorruitontwaseming"
"Windshield defogger switch","Schakelaar voor voorruitontwaseming"
"Windshield wiper and washer switch","Schakelaar voor ruitenwissers en -sproeier"
"Windshield wiper de-icer","Ruitenwisserverwarming"
"Windshield wiper de-icer switch","Schakelaar voor ruitenwisserverwarming"
"Windshield wipers","Ruitenwissers"
"Windshield wipers and washer","Ruitenwissers en -sproeier"
"Windshield wipers and washer switch","Schakelaar voor ruitenwissers en -sproeier"
"Winter drive tips","Rijtips voor de winter"
"Winter driving tips","Rijtips voor de winter"
"Winter tires/tire chain","Winterbanden/sneeuwkettingen"
"Wiper lever","Ruitenwisserhendel"
"Wireless charger","Draadloze lader"
"Wireless charger tray lights","Verlichting voor draadloos oplaadvak"
"Wireless remote control","Draadloze afstandsbediening"
"Wireless remote control linked operation","Werking gekoppeld aan draadloze afstandsbediening"
"Wireless remote control linked operation signal","Signaal bij werking gekoppeld aan draadloze afstandsbediening"
"Worn tread","Versleten loopvlak"
"www.toyota-europe.com","www.toyota-europe.com"
"www.toyota.nl/klantenservice","www.toyota.nl/klantenservice"
"X-MODE","X-MODE"
"X-MODE switch","Schakelaar X-MODE"
"X Mode Switch","Schakelaar X-modus"
"Yellow","Geel"
"You lose your keys","U verliest uw sleutels"
"door","portier"
"outlet","contactdoos"
"Proactive Driving Assist","proactieve rijhulp"
"as a reference only","slechts als indicatie"
"as a reference","als indicatie"
"warning buzzers","waarschuwingszoemers"
"door lock buzzer","zoemer voor portiervergrendeling"
"door lock switch","schakelaar voor portiervergrendeling."
"luggage compartment","bagageruimte"
"back door handles","handgrepen van de bagageklep"
"kick sensor","trapsensor"
"interior alarm","interieuralarm"
"radio waves","radiogolven"
"luggage cover","hoedenplank"
"battery-saving mode","batterijspaarmodus"
"digital anti-glare mode indicator","indicatielampje voor de digitale antischittermodus"
"seatback angle adjustment","afstelling van hoek van rugleuning"
"seat cushion (front) angle adjustment","hoekafstelling van het zitkussen (voor)"
"vertical height adjustment","hoogteverstelling"
"outer mirror angle adjustment","afstelling van de buitenspiegelhoek"
"infrared rays","infraroodstraling"
"parking assist-sensor","parkeerhulpsensor"
"brake pedal","rempedaal"
"parking brake","parkeerrem"
"original position","oorspronkelijke stand"
"swivel for curves","meedraaien in bochten"
"self-luminous light sources","zelflichtgevende lichtbronnen"
"switch ring","skakelring"
"wiper switch","schakelaar voor de ruitenwissers"
"water repellent coating","waterafstotende coating"
"normal position","normale stand"
"retracted position","parkeerstand"
"surrounding conditions","omgevingsomstandigheden"
"license plate covers","kentekenplaathouders"
"grill badges","grille-emblemen"
"license plates","kentekenplaten"
"radar waves","radarstralen"
"SSS control unit","SSS-regeleenheid"
"air intake vent","luchtinlaat"
"truss bridge","vakwerkbrug"
"camera monitoring","camerabewaking"
"acceleration suppression at low speed","acceleratieonderdrukking bij lage snelheid"
"lane lines","rijstrookmarkeringen"
"lane change","rijstrookverandering"
"lane or course","rijstrook of weg"
"detectable object","detecteerbaar object"
"detected object","gedetecteerd object"
"target object","doelobject"
"moving object","bewegend object"
"static object","stilstaand object"
"traffic cones"."verkeerskegels"
"output restriction control","vermogensbegrenzing"
"eco run mode","eco-rijmodus"
"driving assist mode","rijhulpmodus"
"passing lane","inhaalrijstrook"
"deceleration assistance","hulp bij het afremmen"
